Category,ID,X,Y
Gamma,0a6eb60d-5bb7-11ed-85b0-085bd6358b67,8568,6199
Gamma,0a6eb67d-5bb7-11ed-a295-085bd6358b67,6772,9294
Beta,0a6eb6ec-5bb7-11ed-a988-085bd6358b67,1508,2454
Delta,0a6eb75b-5bb7-11ed-9db3-085bd6358b67,8643,1985
Gamma,0a6eb7d4-5bb7-11ed-8606-085bd6358b67,3476,2952
Gamma,0a6eb845-5bb7-11ed-8263-085bd6358b67,8024,5189
Beta,0a6eb8b6-5bb7-11ed-ba5a-085bd6358b67,753,7741
Beta,0a6eb927-5bb7-11ed-b547-085bd6358b67,517,4606
Gamma,0a6eb9ce-5bb7-11ed-b7b6-085bd6358b67,180,527
Alpha,0a6eba49-5bb7-11ed-9e9c-085bd6358b67,623,8985
Delta,0a6ebabb-5bb7-11ed-825e-085bd6358b67,5416,2466
Beta,0a6ebb30-5bb7-11ed-87d2-085bd6358b67,2230,2888
Gamma,0a6ebba5-5bb7-11ed-9a24-085bd6358b67,9339,4189
Alpha,0a6ebc15-5bb7-11ed-92fe-085bd6358b67,1687,1181
Beta,0a6ebc8d-5bb7-11ed-bc2d-085bd6358b67,2502,5217
Gamma,0a6ebcfd-5bb7-11ed-bbb5-085bd6358b67,6493,8138
Delta,0a6ebd6c-5bb7-11ed-9ff7-085bd6358b67,8415,2481
Beta,0a6ebdde-5bb7-11ed-9dfa-085bd6358b67,7399,6089
Delta,0a6ebe4f-5bb7-11ed-abb9-085bd6358b67,3489,2821
Alpha,0a6ebee0-5bb7-11ed-93d2-085bd6358b67,3819,5785
Alpha,0a6ebf55-5bb7-11ed-8787-085bd6358b67,8169,5788
Delta,0a6ebfd5-5bb7-11ed-92a0-085bd6358b67,3356,5679
Alpha,0a6ec04a-5bb7-11ed-8cae-085bd6358b67,8162,6324
Beta,0a6ec0bd-5bb7-11ed-8bbd-085bd6358b67,5353,8018
Alpha,0a6ec12f-5bb7-11ed-863f-085bd6358b67,2427,4792
Delta,0a6ec1a0-5bb7-11ed-9936-085bd6358b67,6408,4182
Delta,0a6ec20f-5bb7-11ed-8a27-085bd6358b67,1486,2786
Delta,0a6ec299-5bb7-11ed-87f1-085bd6358b67,2407,7016
Alpha,0a6ec308-5bb7-11ed-bfae-085bd6358b67,5138,1619
Gamma,0a6ec37b-5bb7-11ed-bb2d-085bd6358b67,5668,846
Beta,0a6ec3ea-5bb7-11ed-b288-085bd6358b67,4081,5552
Gamma,0a6ec45b-5bb7-11ed-b00f-085bd6358b67,943,5482
Alpha,0a6ec4cc-5bb7-11ed-96ab-085bd6358b67,7098,8990
Beta,0a6ec53e-5bb7-11ed-bbe1-085bd6358b67,1683,7751
Delta,0a6ec5b1-5bb7-11ed-be2d-085bd6358b67,9280,5087
Delta,0a6ec628-5bb7-11ed-86f6-085bd6358b67,6265,9780
Beta,0a6ec69b-5bb7-11ed-b088-085bd6358b67,3085,7059
Beta,0a6ec70b-5bb7-11ed-85e8-085bd6358b67,8463,9083
Gamma,0a6ec780-5bb7-11ed-948d-085bd6358b67,7964,2994
Beta,0a6ec7f3-5bb7-11ed-a378-085bd6358b67,2171,3760
Delta,0a6ec869-5bb7-11ed-86fe-085bd6358b67,2763,1599
Beta,0a6ec8e0-5bb7-11ed-9612-085bd6358b67,4567,2985
Beta,0a6ec951-5bb7-11ed-bcfa-085bd6358b67,9538,4344
Beta,0a6ec9c8-5bb7-11ed-831a-085bd6358b67,2172,7752
Beta,0a6ece4d-5bb7-11ed-98cc-085bd6358b67,3968,7868
Delta,0a6ececb-5bb7-11ed-9205-085bd6358b67,1975,9884
Delta,0a6ecf4c-5bb7-11ed-bbfd-085bd6358b67,8163,8942
Beta,0a6ecfc1-5bb7-11ed-911f-085bd6358b67,8654,2746
Beta,0a6ed034-5bb7-11ed-8df7-085bd6358b67,645,931
Gamma,0a6ed0ab-5bb7-11ed-93d1-085bd6358b67,9432,8266
Gamma,0a6ed140-5bb7-11ed-9e82-085bd6358b67,5761,1003
Alpha,0a6ed1b9-5bb7-11ed-9911-085bd6358b67,8429,377
Alpha,0a6ed230-5bb7-11ed-844b-085bd6358b67,1958,8127
Delta,0a6ed2a9-5bb7-11ed-be52-085bd6358b67,6873,6113
Beta,0a6ed31d-5bb7-11ed-ba06-085bd6358b67,9778,3480
Gamma,0a6ed390-5bb7-11ed-b557-085bd6358b67,5408,9204
Alpha,0a6ed400-5bb7-11ed-ae4e-085bd6358b67,8739,6692
Gamma,0a6ed472-5bb7-11ed-827a-085bd6358b67,9186,9944
Beta,0a6ed4fb-5bb7-11ed-956b-085bd6358b67,9641,7879
Alpha,0a6ed56b-5bb7-11ed-b585-085bd6358b67,1739,120
Gamma,0a6ed5db-5bb7-11ed-997e-085bd6358b67,3747,9251
Gamma,0a6ed654-5bb7-11ed-9030-085bd6358b67,1549,7172
Gamma,0a6ed6c9-5bb7-11ed-8196-085bd6358b67,4637,9703
Alpha,0a6ed73c-5bb7-11ed-8f67-085bd6358b67,6194,662
Delta,0a6ed7ac-5bb7-11ed-96b8-085bd6358b67,1712,3314
Gamma,0a6ed81e-5bb7-11ed-8ff3-085bd6358b67,9598,56
Alpha,0a6ed88e-5bb7-11ed-b7bb-085bd6358b67,4098,3650
Beta,0a6ed901-5bb7-11ed-a7f8-085bd6358b67,6544,8215
Beta,0a6ed974-5bb7-11ed-88c1-085bd6358b67,630,9890
Alpha,0a6ed9eb-5bb7-11ed-81cd-085bd6358b67,481,5942
Delta,0a6eda5f-5bb7-11ed-8df9-085bd6358b67,6884,8501
Delta,0a6edad1-5bb7-11ed-ab0e-085bd6358b67,1547,6236
Alpha,0a6edb42-5bb7-11ed-bb08-085bd6358b67,4976,1368
Alpha,0a6edbb3-5bb7-11ed-9573-085bd6358b67,5339,3012
Beta,0a6edc27-5bb7-11ed-9666-085bd6358b67,592,6972
Alpha,0a6edc9a-5bb7-11ed-b214-085bd6358b67,8911,786
Gamma,0a6edd0c-5bb7-11ed-a1ce-085bd6358b67,5012,5021
Delta,0a6edd7d-5bb7-11ed-a3b3-085bd6358b67,6233,6104
Beta,0a6eddee-5bb7-11ed-af37-085bd6358b67,4687,6347
Delta,0a6ede6d-5bb7-11ed-88d5-085bd6358b67,4064,9903
Alpha,0a6edee4-5bb7-11ed-b0a9-085bd6358b67,3061,6018
Delta,0a6edf55-5bb7-11ed-afd4-085bd6358b67,2587,2689
Gamma,0a6edfc8-5bb7-11ed-91be-085bd6358b67,4130,1676
Gamma,0a6ee03f-5bb7-11ed-b051-085bd6358b67,9679,4081
Alpha,0a6ee0b6-5bb7-11ed-aaca-085bd6358b67,9799,2996
Delta,0a6ee128-5bb7-11ed-a81d-085bd6358b67,2704,5229
Alpha,0a6ee19c-5bb7-11ed-915f-085bd6358b67,5055,6232
Alpha,0a6ee20d-5bb7-11ed-9ff9-085bd6358b67,4678,8038
Gamma,0a6ee27e-5bb7-11ed-b146-085bd6358b67,5413,7159
Delta,0a6ee2f6-5bb7-11ed-a015-085bd6358b67,8236,4904
Alpha,0a6ee381-5bb7-11ed-9880-085bd6358b67,8221,6541
Beta,0a6ee3f5-5bb7-11ed-96c7-085bd6358b67,1423,9106
Beta,0a6ee47f-5bb7-11ed-acd9-085bd6358b67,9589,81
Delta,0a6ee4f8-5bb7-11ed-b6f0-085bd6358b67,1993,5916
Beta,0a6ee56e-5bb7-11ed-acef-085bd6358b67,5292,4554
Alpha,0a6ee5e6-5bb7-11ed-a2cc-085bd6358b67,8478,7418
Delta,0a6ee667-5bb7-11ed-8153-085bd6358b67,3040,2811
Alpha,0a6ee6e9-5bb7-11ed-bbea-085bd6358b67,6701,7612
Alpha,0a6ee75d-5bb7-11ed-9779-085bd6358b67,3181,6856
Gamma,0a6ee7d3-5bb7-11ed-b136-085bd6358b67,6127,5459
Delta,0a6ee844-5bb7-11ed-a0ee-085bd6358b67,1031,6619
Beta,0a6ee8b5-5bb7-11ed-b553-085bd6358b67,8816,7106
Alpha,0a6ee933-5bb7-11ed-9fc8-085bd6358b67,5093,4331
Gamma,0a6eea13-5bb7-11ed-ac0b-085bd6358b67,394,270
Beta,0a6eea90-5bb7-11ed-9704-085bd6358b67,7744,2861
Alpha,0a6eeb07-5bb7-11ed-9734-085bd6358b67,6880,2152
Alpha,0a6eeb79-5bb7-11ed-8f8c-085bd6358b67,6152,394
Alpha,0a6eebeb-5bb7-11ed-b9f5-085bd6358b67,5855,2535
Beta,0a6eec5f-5bb7-11ed-868a-085bd6358b67,6450,2398
Gamma,0a6eecd0-5bb7-11ed-9faa-085bd6358b67,2036,1472
Beta,0a6eed42-5bb7-11ed-b38d-085bd6358b67,2422,4220
Delta,0a6eedb3-5bb7-11ed-bdc2-085bd6358b67,6523,8127
Delta,0a6eee22-5bb7-11ed-8f42-085bd6358b67,7246,1520
Delta,0a6eee94-5bb7-11ed-9877-085bd6358b67,6047,8981
Alpha,0a6eef0f-5bb7-11ed-8850-085bd6358b67,1886,2923
Gamma,0a6eef83-5bb7-11ed-85d7-085bd6358b67,5672,7492
Alpha,0a6eeff5-5bb7-11ed-af9a-085bd6358b67,9681,7326
Gamma,0a6ef064-5bb7-11ed-8df5-085bd6358b67,9496,5591
Gamma,0a6ef0db-5bb7-11ed-ae75-085bd6358b67,7919,5663
Delta,0a6ef151-5bb7-11ed-abc2-085bd6358b67,4901,3785
Beta,0a6ef1c0-5bb7-11ed-b13d-085bd6358b67,8906,3009
Beta,0a6ef249-5bb7-11ed-9821-085bd6358b67,2503,3601
Beta,0a6ef2b9-5bb7-11ed-bdf9-085bd6358b67,2695,9067
Alpha,0a6ef32c-5bb7-11ed-b89f-085bd6358b67,2062,6272
Gamma,0a6ef3a9-5bb7-11ed-a587-085bd6358b67,3695,7174
Delta,0a6ef41f-5bb7-11ed-a5db-085bd6358b67,6808,742
Alpha,0a6ef49c-5bb7-11ed-b957-085bd6358b67,5967,855
Alpha,0a6ef50c-5bb7-11ed-94f7-085bd6358b67,2389,6311
Beta,0a6ef57c-5bb7-11ed-a4c6-085bd6358b67,5765,879
Gamma,0a6ef5ec-5bb7-11ed-a931-085bd6358b67,9889,4472
Beta,0a6ef669-5bb7-11ed-8a9f-085bd6358b67,3128,6880
Alpha,0a6ef6db-5bb7-11ed-9775-085bd6358b67,4407,6877
Gamma,0a6ef750-5bb7-11ed-8d5c-085bd6358b67,5557,9395
Delta,0a6ef7c3-5bb7-11ed-8876-085bd6358b67,3439,7517
Beta,0a6ef837-5bb7-11ed-9329-085bd6358b67,5159,987
Alpha,0a6ef8d0-5bb7-11ed-8dcc-085bd6358b67,5649,7715
Beta,0a6ef94a-5bb7-11ed-b08a-085bd6358b67,3748,5465
Gamma,0a6ef9c2-5bb7-11ed-ab96-085bd6358b67,3548,6814
Delta,0a6efa33-5bb7-11ed-aab8-085bd6358b67,3093,3643
Gamma,0a6efaa5-5bb7-11ed-bb00-085bd6358b67,6654,1986
Alpha,0a6efb19-5bb7-11ed-9cab-085bd6358b67,1467,9416
Delta,0a6efb8a-5bb7-11ed-9851-085bd6358b67,191,975
Alpha,0a6efbff-5bb7-11ed-b904-085bd6358b67,4557,8149
Gamma,0a6efc6f-5bb7-11ed-bd7a-085bd6358b67,6742,8822
Delta,0a6efce4-5bb7-11ed-8d91-085bd6358b67,9236,8618
Alpha,0a6efd54-5bb7-11ed-a02e-085bd6358b67,4392,4313
Gamma,0a6efdc5-5bb7-11ed-a0b9-085bd6358b67,2216,5586
Alpha,0a6efe38-5bb7-11ed-ac0a-085bd6358b67,8197,3824
Delta,0a6efea9-5bb7-11ed-8af5-085bd6358b67,8431,5679
Alpha,0a6eff20-5bb7-11ed-95ff-085bd6358b67,8474,5712
Gamma,0a6eff95-5bb7-11ed-9e16-085bd6358b67,2699,1857
Delta,0a6f0005-5bb7-11ed-b899-085bd6358b67,9378,6758
Delta,0a6f0093-5bb7-11ed-a2fb-085bd6358b67,9053,3567
Delta,0a6f011e-5bb7-11ed-8e98-085bd6358b67,2228,7380
Gamma,0a6f0192-5bb7-11ed-aa6c-085bd6358b67,700,6676
Alpha,0a6f0201-5bb7-11ed-a91e-085bd6358b67,2147,9546
Alpha,0a6f0271-5bb7-11ed-96fb-085bd6358b67,7315,2625
Beta,0a6f02e5-5bb7-11ed-9060-085bd6358b67,5506,6712
Alpha,0a6f0356-5bb7-11ed-9e1f-085bd6358b67,3920,9155
Beta,0a6f03c5-5bb7-11ed-8ecb-085bd6358b67,445,1986
Gamma,0a6f0439-5bb7-11ed-833f-085bd6358b67,3599,2297
Gamma,0a6f04ac-5bb7-11ed-874f-085bd6358b67,7050,7358
Beta,0a6f0519-5bb7-11ed-9ba0-085bd6358b67,9513,9761
Alpha,0a6f058d-5bb7-11ed-8629-085bd6358b67,83,874
Alpha,0a6f05fe-5bb7-11ed-8f6b-085bd6358b67,7362,5381
Delta,0a6f066d-5bb7-11ed-96db-085bd6358b67,9771,4236
Gamma,0a6f06e0-5bb7-11ed-a778-085bd6358b67,5664,474
Delta,0a6f0752-5bb7-11ed-a175-085bd6358b67,8147,9099
