Category,ID,X,Y
Delta,32a6b65e-5bb7-11ed-8a20-085bd6358b67,8122,3955
Gamma,32a6b747-5bb7-11ed-af1f-085bd6358b67,8521,7906
Delta,32a6b822-5bb7-11ed-a688-085bd6358b67,1028,2724
Delta,32a6b906-5bb7-11ed-9f52-085bd6358b67,6572,2224
Gamma,32a6ba03-5bb7-11ed-9ae8-085bd6358b67,8825,6354
Beta,32a6baab-5bb7-11ed-9f5a-085bd6358b67,9154,7231
Delta,32a6bb47-5bb7-11ed-8650-085bd6358b67,578,46
Alpha,32a6bbec-5bb7-11ed-9c11-085bd6358b67,828,5728
Beta,32a6bc8c-5bb7-11ed-85ef-085bd6358b67,1781,9965
Delta,32a6bd2d-5bb7-11ed-9d0f-085bd6358b67,2282,7514
Delta,32a6bdcc-5bb7-11ed-b72b-085bd6358b67,8210,7325
Gamma,32a6be69-5bb7-11ed-95f7-085bd6358b67,7507,6935
Beta,32a6bf1f-5bb7-11ed-9504-085bd6358b67,3888,5293
Alpha,32a6bfc6-5bb7-11ed-a79f-085bd6358b67,3204,9642
Delta,32a6c071-5bb7-11ed-a4d2-085bd6358b67,408,1906
Gamma,32a6c1bb-5bb7-11ed-bd97-085bd6358b67,7132,4039
Gamma,32a6c267-5bb7-11ed-adf7-085bd6358b67,1458,757
Alpha,32a6c307-5bb7-11ed-a639-085bd6358b67,4677,2664
Delta,32a6c3af-5bb7-11ed-aae1-085bd6358b67,2314,5914
Delta,32a6c44c-5bb7-11ed-a616-085bd6358b67,3145,5732
Alpha,32a6c4ea-5bb7-11ed-8bae-085bd6358b67,9690,3189
Beta,32a6c586-5bb7-11ed-9b4f-085bd6358b67,1572,5054
Delta,32a6c628-5bb7-11ed-b8cd-085bd6358b67,8559,6938
Beta,32a6c6d0-5bb7-11ed-9ca5-085bd6358b67,4356,9789
Alpha,32a6c775-5bb7-11ed-9751-085bd6358b67,126,3433
Delta,32a6c814-5bb7-11ed-9b20-085bd6358b67,6256,3272
Delta,32a6c8b9-5bb7-11ed-847d-085bd6358b67,1458,905
Gamma,32a6c958-5bb7-11ed-9645-085bd6358b67,5901,7485
Beta,32a6c9f2-5bb7-11ed-9b25-085bd6358b67,4628,7646
Gamma,32a6ca91-5bb7-11ed-ac7c-085bd6358b67,8298,8182
Gamma,32a6cb2c-5bb7-11ed-a07b-085bd6358b67,6628,7235
Gamma,32a6cbc8-5bb7-11ed-a8ed-085bd6358b67,5717,4539
Delta,32a6cc65-5bb7-11ed-9ee2-085bd6358b67,7815,9620
Alpha,32a6cd00-5bb7-11ed-9eb6-085bd6358b67,8844,6013
Delta,32a6cd9c-5bb7-11ed-b345-085bd6358b67,2760,9878
Delta,32a6ce3d-5bb7-11ed-bf82-085bd6358b67,9244,1072
Gamma,32a6cedf-5bb7-11ed-a61d-085bd6358b67,267,9695
Gamma,32a6cf7e-5bb7-11ed-94f8-085bd6358b67,1210,6496
Gamma,32a6d03f-5bb7-11ed-a70f-085bd6358b67,4625,9924
Beta,32a6d0ea-5bb7-11ed-8bed-085bd6358b67,2761,5041
Alpha,32a6d18a-5bb7-11ed-861b-085bd6358b67,3602,9339
Alpha,32a6d234-5bb7-11ed-afac-085bd6358b67,6908,3141
Delta,32a6d2d7-5bb7-11ed-a473-085bd6358b67,9722,262
Beta,32a6d37f-5bb7-11ed-991e-085bd6358b67,5559,9408
Gamma,32a6d420-5bb7-11ed-8c35-085bd6358b67,780,9474
Alpha,32a6d4ce-5bb7-11ed-8335-085bd6358b67,9259,5995
Delta,32a6d566-5bb7-11ed-b705-085bd6358b67,5317,9849
Beta,32a6d600-5bb7-11ed-a8da-085bd6358b67,2584,1923
Gamma,32a6d6b2-5bb7-11ed-a6c9-085bd6358b67,2691,510
Gamma,32a6d757-5bb7-11ed-ae44-085bd6358b67,1445,6511
Gamma,32a6d7f6-5bb7-11ed-9c1c-085bd6358b67,977,2384
Delta,32a6d895-5bb7-11ed-bb22-085bd6358b67,7713,9991
Delta,32a6d930-5bb7-11ed-9ce7-085bd6358b67,9898,2868
Delta,32a6d9cc-5bb7-11ed-96a4-085bd6358b67,5625,9154
Delta,32a6da6d-5bb7-11ed-a0d1-085bd6358b67,6360,3184
Delta,32a6db05-5bb7-11ed-8635-085bd6358b67,2499,677
Beta,32a6dba2-5bb7-11ed-bba9-085bd6358b67,3115,9339
Gamma,32a6dc45-5bb7-11ed-9b70-085bd6358b67,9160,6162
Alpha,32a6dd13-5bb7-11ed-bd74-085bd6358b67,9918,849
Gamma,32a6ddae-5bb7-11ed-8a97-085bd6358b67,3658,811
Beta,32a6de4b-5bb7-11ed-a51e-085bd6358b67,1632,9249
Beta,32a6dee7-5bb7-11ed-9711-085bd6358b67,4958,700
Delta,32a6df85-5bb7-11ed-9954-085bd6358b67,1273,5658
Beta,32a6e021-5bb7-11ed-b09c-085bd6358b67,8055,2667
Delta,32a6e0c3-5bb7-11ed-8ac6-085bd6358b67,7671,5378
Alpha,32a6e167-5bb7-11ed-b83c-085bd6358b67,2836,2886
Delta,32a6e204-5bb7-11ed-a535-085bd6358b67,2508,8410
Delta,32a6e2a0-5bb7-11ed-a912-085bd6358b67,1544,6497
Alpha,32a6e33f-5bb7-11ed-bd6c-085bd6358b67,3851,1750
Gamma,32a6e3d9-5bb7-11ed-9b0c-085bd6358b67,4750,8742
Alpha,32a6e477-5bb7-11ed-a992-085bd6358b67,5662,8549
Delta,32a6e517-5bb7-11ed-a7a9-085bd6358b67,9958,4006
Gamma,32a6e5af-5bb7-11ed-a214-085bd6358b67,200,2589
Delta,32a6e66f-5bb7-11ed-bdaf-085bd6358b67,3750,1587
Delta,32a6e70f-5bb7-11ed-a0a8-085bd6358b67,1633,9452
Delta,32a6e7af-5bb7-11ed-b9fa-085bd6358b67,9548,3569
Gamma,32a6e847-5bb7-11ed-9263-085bd6358b67,1142,3088
Alpha,32a6e8e3-5bb7-11ed-a7d5-085bd6358b67,1226,6556
Alpha,32a6e982-5bb7-11ed-b3eb-085bd6358b67,283,7054
Beta,32a6ea20-5bb7-11ed-95a9-085bd6358b67,776,5872
Delta,32a6eac2-5bb7-11ed-94c3-085bd6358b67,2803,308
Beta,32a6eb91-5bb7-11ed-8d28-085bd6358b67,4738,3302
Beta,32a6ec32-5bb7-11ed-8fcd-085bd6358b67,6329,8929
Delta,32a6ecd3-5bb7-11ed-a569-085bd6358b67,9029,509
Alpha,32a6ed72-5bb7-11ed-8805-085bd6358b67,2018,453
Alpha,32a6ee0d-5bb7-11ed-b5ab-085bd6358b67,2914,2042
Delta,32a6eeaf-5bb7-11ed-ac5c-085bd6358b67,1104,239
Delta,32a6ef49-5bb7-11ed-aa5f-085bd6358b67,2995,6909
Alpha,32a6eff6-5bb7-11ed-b9b3-085bd6358b67,9038,2777
Delta,32a6f0b8-5bb7-11ed-8360-085bd6358b67,9472,7521
Gamma,32a6f153-5bb7-11ed-9d23-085bd6358b67,3043,565
Delta,32a6f1ea-5bb7-11ed-9986-085bd6358b67,8008,5973
Alpha,32a6f289-5bb7-11ed-aa9f-085bd6358b67,2278,4346
Beta,32a6f322-5bb7-11ed-9034-085bd6358b67,1493,7548
Beta,32a6f3bb-5bb7-11ed-80d9-085bd6358b67,4555,1287
Gamma,32a6f45a-5bb7-11ed-ba37-085bd6358b67,2306,1712
Alpha,32a6f4fb-5bb7-11ed-a25f-085bd6358b67,4714,5482
Alpha,32a6f59e-5bb7-11ed-b3d3-085bd6358b67,9433,4254
Delta,32a6f63e-5bb7-11ed-a8a7-085bd6358b67,8351,2391
Alpha,32a6f709-5bb7-11ed-ada2-085bd6358b67,927,9974
Beta,32a6f7b6-5bb7-11ed-83dc-085bd6358b67,8774,239
Beta,32a6f857-5bb7-11ed-8db0-085bd6358b67,5010,6863
Alpha,32a6f8fd-5bb7-11ed-89a8-085bd6358b67,6129,8457
Alpha,32a6f99c-5bb7-11ed-aad6-085bd6358b67,7828,4907
Delta,32a6fa3a-5bb7-11ed-9db4-085bd6358b67,2876,2305
Delta,32a6fadb-5bb7-11ed-81c7-085bd6358b67,9982,2523
Beta,32a6fb78-5bb7-11ed-9ce4-085bd6358b67,5549,8301
Delta,32a6fc1d-5bb7-11ed-aad1-085bd6358b67,2535,706
Delta,32a6fcb7-5bb7-11ed-9f58-085bd6358b67,2727,7694
Gamma,32a6fd54-5bb7-11ed-acec-085bd6358b67,3468,8104
Gamma,32a6fdee-5bb7-11ed-a145-085bd6358b67,9220,9116
Beta,32a6fe91-5bb7-11ed-984b-085bd6358b67,5186,5199
Alpha,32a6ff33-5bb7-11ed-8850-085bd6358b67,7498,873
Gamma,32a6ffcc-5bb7-11ed-ab1e-085bd6358b67,8648,8550
Delta,32a70067-5bb7-11ed-8319-085bd6358b67,9992,1332
Alpha,32a70106-5bb7-11ed-ba79-085bd6358b67,2090,544
Alpha,32a701a2-5bb7-11ed-bf73-085bd6358b67,5998,7131
Delta,32a7023d-5bb7-11ed-8e2c-085bd6358b67,9275,1484
Alpha,32a702e0-5bb7-11ed-8696-085bd6358b67,6001,7471
Gamma,32a7037b-5bb7-11ed-9b60-085bd6358b67,2910,2074
Delta,32a7041c-5bb7-11ed-b0e0-085bd6358b67,8902,8853
Beta,32a70502-5bb7-11ed-8c52-085bd6358b67,2559,6261
Delta,32a705a4-5bb7-11ed-8df6-085bd6358b67,6322,3124
Alpha,32a70671-5bb7-11ed-bf30-085bd6358b67,8768,2538
Beta,32a70719-5bb7-11ed-b6a4-085bd6358b67,1170,6488
Alpha,32a707bc-5bb7-11ed-9d2a-085bd6358b67,3428,192
Beta,32a7085e-5bb7-11ed-9d10-085bd6358b67,2798,6012
Beta,32a708fc-5bb7-11ed-9898-085bd6358b67,4061,5471
Gamma,32a70998-5bb7-11ed-9324-085bd6358b67,2538,975
Delta,32a70a35-5bb7-11ed-9f03-085bd6358b67,5825,5598
Gamma,32a70acf-5bb7-11ed-8050-085bd6358b67,4807,8216
Alpha,32a70b70-5bb7-11ed-b971-085bd6358b67,6660,4649
Beta,32a70c16-5bb7-11ed-9d64-085bd6358b67,1892,6849
Alpha,32a70cb9-5bb7-11ed-9b7e-085bd6358b67,1977,7571
Alpha,32a70d56-5bb7-11ed-8a57-085bd6358b67,6205,8704
Alpha,32a70df6-5bb7-11ed-8520-085bd6358b67,8523,9023
Delta,32a70e93-5bb7-11ed-90a2-085bd6358b67,1392,6905
Alpha,32a70f30-5bb7-11ed-bc70-085bd6358b67,6667,7811
Beta,32a70fce-5bb7-11ed-b42c-085bd6358b67,6452,379
Delta,32a71069-5bb7-11ed-9c68-085bd6358b67,9308,8079
Delta,32a71108-5bb7-11ed-ac85-085bd6358b67,4894,9206
Beta,32a711a2-5bb7-11ed-aa0a-085bd6358b67,7385,2729
Delta,32a71240-5bb7-11ed-8e83-085bd6358b67,8184,9379
Delta,32a712e7-5bb7-11ed-9def-085bd6358b67,4946,9030
Delta,32a7138b-5bb7-11ed-ba2b-085bd6358b67,9798,380
Gamma,32a71425-5bb7-11ed-a00c-085bd6358b67,7601,4971
Beta,32a714c5-5bb7-11ed-8bc2-085bd6358b67,3654,6123
Beta,32a7155f-5bb7-11ed-a69a-085bd6358b67,8700,444
Alpha,32a715fb-5bb7-11ed-a2a9-085bd6358b67,956,2694
Gamma,32a7169a-5bb7-11ed-9ae2-085bd6358b67,2697,3206
Beta,32a71738-5bb7-11ed-81d1-085bd6358b67,7650,5147
Beta,32a717d1-5bb7-11ed-82bf-085bd6358b67,583,283
Delta,32a7188d-5bb7-11ed-8910-085bd6358b67,7439,5767
Delta,32a7192a-5bb7-11ed-816a-085bd6358b67,5839,4241
Beta,32a719c6-5bb7-11ed-811a-085bd6358b67,4191,686
Beta,32a71a5f-5bb7-11ed-8904-085bd6358b67,1873,8441
Delta,32a71b00-5bb7-11ed-adab-085bd6358b67,4857,5743
Delta,32a71ba0-5bb7-11ed-947e-085bd6358b67,5388,9787
Gamma,32a71c42-5bb7-11ed-b47b-085bd6358b67,7036,924
Delta,32a71cda-5bb7-11ed-86df-085bd6358b67,5893,7961
Delta,32a71d79-5bb7-11ed-ae7f-085bd6358b67,7716,5850
Beta,32a71e13-5bb7-11ed-8478-085bd6358b67,9517,3129
Gamma,32a71eac-5bb7-11ed-a325-085bd6358b67,4727,3262
Delta,32a71f45-5bb7-11ed-8052-085bd6358b67,691,2807
Delta,32a71fed-5bb7-11ed-8a55-085bd6358b67,5904,6450
Delta,32a72089-5bb7-11ed-87af-085bd6358b67,4064,3319
Alpha,32a7214f-5bb7-11ed-b9d4-085bd6358b67,8051,877
Gamma,32a721fa-5bb7-11ed-a32f-085bd6358b67,8003,1359
Alpha,32a7229f-5bb7-11ed-be91-085bd6358b67,4013,2858
Delta,32a7234c-5bb7-11ed-8adc-085bd6358b67,6631,9174
Delta,32a723eb-5bb7-11ed-8c35-085bd6358b67,3757,7125
Beta,32a72488-5bb7-11ed-9a7b-085bd6358b67,3789,5906
Beta,32a7252d-5bb7-11ed-9ecc-085bd6358b67,3250,9351
Alpha,32a725d0-5bb7-11ed-aa11-085bd6358b67,8567,3053
Alpha,32a72685-5bb7-11ed-8c1c-085bd6358b67,6447,8859
Beta,32a72726-5bb7-11ed-8031-085bd6358b67,9310,5367
Delta,32a727d6-5bb7-11ed-942c-085bd6358b67,9541,2874
Delta,32a7287d-5bb7-11ed-b334-085bd6358b67,3975,6151
Delta,32a72919-5bb7-11ed-9994-085bd6358b67,8322,1750
Alpha,32a729b3-5bb7-11ed-9afe-085bd6358b67,4040,966
Alpha,32a72a51-5bb7-11ed-86fa-085bd6358b67,4429,4060
Gamma,32a72aec-5bb7-11ed-91c3-085bd6358b67,4691,8765
Beta,32a72b8e-5bb7-11ed-9790-085bd6358b67,5745,9286
Beta,32a72c50-5bb7-11ed-a8d8-085bd6358b67,1171,229
Delta,32a72d18-5bb7-11ed-b045-085bd6358b67,1939,6608
Alpha,32a72db8-5bb7-11ed-bd4a-085bd6358b67,2678,9773
Delta,32a72e59-5bb7-11ed-88b5-085bd6358b67,3967,7792
Alpha,32a72ef3-5bb7-11ed-9d88-085bd6358b67,2813,1281
Gamma,32a72f8c-5bb7-11ed-95ed-085bd6358b67,2528,936
Alpha,32a73033-5bb7-11ed-9c45-085bd6358b67,878,547
Delta,32a736e2-5bb7-11ed-9c01-085bd6358b67,9007,8771
Gamma,32a737a9-5bb7-11ed-93df-085bd6358b67,4785,9702
Delta,32a73856-5bb7-11ed-88ab-085bd6358b67,5451,5845
Gamma,32a738fc-5bb7-11ed-8477-085bd6358b67,4796,5707
Alpha,32a739a5-5bb7-11ed-acfd-085bd6358b67,4141,6170
Delta,32a73a4a-5bb7-11ed-940d-085bd6358b67,7010,6634
Gamma,32a73aef-5bb7-11ed-8aaa-085bd6358b67,1901,2463
Beta,32a73b78-5bb7-11ed-bb76-085bd6358b67,59,7275
Gamma,32a73c04-5bb7-11ed-b095-085bd6358b67,7047,4378
Gamma,32a73c90-5bb7-11ed-8a31-085bd6358b67,3091,2108
Alpha,32a73d1b-5bb7-11ed-8333-085bd6358b67,9578,2769
Beta,32a73da3-5bb7-11ed-a436-085bd6358b67,990,9418
Gamma,32a73e2e-5bb7-11ed-92e5-085bd6358b67,7554,5979
Gamma,32a73eb8-5bb7-11ed-93b3-085bd6358b67,1180,3263
Gamma,32a73f44-5bb7-11ed-a9c3-085bd6358b67,1147,1164
Beta,32a73fd0-5bb7-11ed-af52-085bd6358b67,7253,8869
Beta,32a74059-5bb7-11ed-ab8f-085bd6358b67,9404,4372
Gamma,32a740e0-5bb7-11ed-a380-085bd6358b67,813,8228
Gamma,32a7418b-5bb7-11ed-9b89-085bd6358b67,7657,9829
Alpha,32a7421b-5bb7-11ed-ac95-085bd6358b67,6125,5480
Delta,32a742a7-5bb7-11ed-9e9c-085bd6358b67,4622,8792
Alpha,32a74338-5bb7-11ed-9f34-085bd6358b67,6115,4125
Delta,32a743c3-5bb7-11ed-b919-085bd6358b67,2990,3748
Delta,32a74458-5bb7-11ed-98cc-085bd6358b67,5263,4487
Gamma,32a744df-5bb7-11ed-86c2-085bd6358b67,1855,1490
Gamma,32a7457f-5bb7-11ed-86d5-085bd6358b67,7147,3843
Beta,32a74606-5bb7-11ed-8b5d-085bd6358b67,71,8229
Gamma,32a74695-5bb7-11ed-a368-085bd6358b67,2654,5613
Beta,32a7471d-5bb7-11ed-a4b9-085bd6358b67,9698,2002
Gamma,32a747ac-5bb7-11ed-8aa0-085bd6358b67,156,5594
Delta,32a74830-5bb7-11ed-ba0d-085bd6358b67,3081,7335
Delta,32a748b6-5bb7-11ed-8383-085bd6358b67,9281,2200
Gamma,32a7493f-5bb7-11ed-8118-085bd6358b67,8336,2917
Alpha,32a749ca-5bb7-11ed-bb13-085bd6358b67,2467,8154
Gamma,32a74a54-5bb7-11ed-a802-085bd6358b67,9456,4923
Delta,32a74ae3-5bb7-11ed-830d-085bd6358b67,2736,2340
Alpha,32a74b69-5bb7-11ed-9809-085bd6358b67,7859,7093
Delta,32a74bf3-5bb7-11ed-be94-085bd6358b67,9958,9316
Alpha,32a74d0a-5bb7-11ed-a87b-085bd6358b67,499,9554
Gamma,32a74dae-5bb7-11ed-8a8a-085bd6358b67,6646,3144
Delta,32a74e50-5bb7-11ed-a5dd-085bd6358b67,6236,3889
Beta,32a74edc-5bb7-11ed-95d6-085bd6358b67,5892,9411
Alpha,32a74f63-5bb7-11ed-b661-085bd6358b67,9350,132
Beta,32a74fef-5bb7-11ed-b33a-085bd6358b67,214,2159
Gamma,32a75074-5bb7-11ed-8d16-085bd6358b67,3998,1235
Delta,32a750fb-5bb7-11ed-9f50-085bd6358b67,979,7420
Alpha,32a75185-5bb7-11ed-97a8-085bd6358b67,3493,2899
Beta,32a7520e-5bb7-11ed-a77c-085bd6358b67,5707,474
Beta,32a7529d-5bb7-11ed-92ee-085bd6358b67,8493,9905
Delta,32a75326-5bb7-11ed-bdd3-085bd6358b67,6291,1462
Beta,32a753b4-5bb7-11ed-b404-085bd6358b67,7737,1269
Beta,32a75439-5bb7-11ed-9355-085bd6358b67,8122,7786
Alpha,32a754c5-5bb7-11ed-92b6-085bd6358b67,7809,4819
Gamma,32a7554d-5bb7-11ed-82ff-085bd6358b67,1102,1280
Delta,32a755d3-5bb7-11ed-9692-085bd6358b67,631,1822
Beta,32a75658-5bb7-11ed-bcc9-085bd6358b67,2103,721
Beta,32a756ed-5bb7-11ed-b2d8-085bd6358b67,6867,820
Gamma,32a7579e-5bb7-11ed-84e4-085bd6358b67,751,6783
Gamma,32a75829-5bb7-11ed-b663-085bd6358b67,5460,8433
Gamma,32a758b1-5bb7-11ed-a6f4-085bd6358b67,6332,4161
Delta,32a7593c-5bb7-11ed-bada-085bd6358b67,255,9112
Alpha,32a759e1-5bb7-11ed-a2ac-085bd6358b67,7631,3721
Alpha,32a75aac-5bb7-11ed-a398-085bd6358b67,6166,8858
Gamma,32a75bfc-5bb7-11ed-acd5-085bd6358b67,4393,8946
Alpha,32a75d26-5bb7-11ed-8240-085bd6358b67,5362,9556
Delta,32a75df3-5bb7-11ed-b871-085bd6358b67,5088,5274
Beta,32a75ec2-5bb7-11ed-8ae3-085bd6358b67,5646,8108
Gamma,32a75f7f-5bb7-11ed-8602-085bd6358b67,3629,5178
Gamma,32a76036-5bb7-11ed-835b-085bd6358b67,118,8436
Alpha,32a760f6-5bb7-11ed-923b-085bd6358b67,5940,871
Alpha,32a761b6-5bb7-11ed-887b-085bd6358b67,4470,3725
Alpha,32a7627d-5bb7-11ed-96a4-085bd6358b67,9961,4897
Delta,32a76342-5bb7-11ed-a2d9-085bd6358b67,8925,6404
Delta,32a76413-5bb7-11ed-a7fc-085bd6358b67,5203,127
Beta,32a764d6-5bb7-11ed-ba9d-085bd6358b67,4813,3123
Gamma,32a765a0-5bb7-11ed-9684-085bd6358b67,8198,4653
Alpha,32a76677-5bb7-11ed-9a85-085bd6358b67,7383,2340
Delta,32a767a2-5bb7-11ed-8e6c-085bd6358b67,8775,5407
Gamma,32a7689a-5bb7-11ed-ab19-085bd6358b67,4061,9616
Delta,32a7697f-5bb7-11ed-abd3-085bd6358b67,349,1063
Delta,32a76a61-5bb7-11ed-8ebe-085bd6358b67,3444,2593
Alpha,32a76b3d-5bb7-11ed-832d-085bd6358b67,5947,6102
Beta,32a76c19-5bb7-11ed-86e6-085bd6358b67,9821,960
Alpha,32a76d04-5bb7-11ed-bd2b-085bd6358b67,376,6763
Alpha,32a76dd4-5bb7-11ed-8f07-085bd6358b67,9151,7112
Delta,32a76ea2-5bb7-11ed-b46d-085bd6358b67,4281,1838
Alpha,32a76f7c-5bb7-11ed-bfbe-085bd6358b67,8885,1671
Beta,32a77056-5bb7-11ed-b65e-085bd6358b67,9334,1278
Delta,32a77197-5bb7-11ed-b570-085bd6358b67,4351,1228
Alpha,32a77285-5bb7-11ed-94de-085bd6358b67,4900,3828
Delta,32a77371-5bb7-11ed-8f67-085bd6358b67,2105,7904
Gamma,32a77454-5bb7-11ed-aa38-085bd6358b67,4814,3296
Alpha,32a7751f-5bb7-11ed-9bb0-085bd6358b67,7116,2074
Gamma,32a775eb-5bb7-11ed-9bd6-085bd6358b67,2331,5973
Beta,32a776c9-5bb7-11ed-b953-085bd6358b67,9263,4683
Delta,32a777a2-5bb7-11ed-aa85-085bd6358b67,3348,8060
Alpha,32a7788a-5bb7-11ed-99d6-085bd6358b67,4248,815
Delta,32a77945-5bb7-11ed-8a3b-085bd6358b67,8834,1628
Beta,32a779f6-5bb7-11ed-893d-085bd6358b67,4487,3637
Alpha,32a77aa5-5bb7-11ed-8722-085bd6358b67,950,6875
Alpha,32a77b5a-5bb7-11ed-9984-085bd6358b67,1629,2146
Gamma,32a77c0f-5bb7-11ed-9b24-085bd6358b67,802,3638
Delta,32a77cbd-5bb7-11ed-b94f-085bd6358b67,5139,4617
Delta,32a77d6b-5bb7-11ed-9c06-085bd6358b67,324,9963
Beta,32a77e6a-5bb7-11ed-8de7-085bd6358b67,3393,1167
Beta,32a77f4b-5bb7-11ed-8217-085bd6358b67,9969,4452
Gamma,32a78023-5bb7-11ed-b02e-085bd6358b67,4099,8576
Gamma,32a780fa-5bb7-11ed-a645-085bd6358b67,813,8929
Beta,32a781db-5bb7-11ed-88ea-085bd6358b67,6464,4107
Delta,32a7827c-5bb7-11ed-9f1b-085bd6358b67,9357,6453
Delta,32a78303-5bb7-11ed-ab35-085bd6358b67,5858,6795
Beta,32a7838c-5bb7-11ed-94bc-085bd6358b67,5193,8805
Alpha,32a78417-5bb7-11ed-9926-085bd6358b67,370,7942
Beta,32a784a3-5bb7-11ed-9dbc-085bd6358b67,609,7350
Beta,32a7852d-5bb7-11ed-b048-085bd6358b67,555,7792
Beta,32a785b1-5bb7-11ed-a5e9-085bd6358b67,1250,3943
Alpha,32a78635-5bb7-11ed-ace5-085bd6358b67,8881,2606
Beta,32a786c4-5bb7-11ed-a266-085bd6358b67,9975,6085
Beta,32a7874a-5bb7-11ed-a712-085bd6358b67,790,8463
Delta,32a787d7-5bb7-11ed-bed3-085bd6358b67,3964,2312
Delta,32a78889-5bb7-11ed-ad4f-085bd6358b67,1177,3999
Alpha,32a7893b-5bb7-11ed-9fb5-085bd6358b67,947,2832
Beta,32a789d7-5bb7-11ed-a991-085bd6358b67,2200,3859
Delta,32a78a9b-5bb7-11ed-84f4-085bd6358b67,654,1919
Alpha,32a78b3f-5bb7-11ed-b372-085bd6358b67,1205,994
Delta,32a78be7-5bb7-11ed-8675-085bd6358b67,7229,1268
Beta,32a78c85-5bb7-11ed-be85-085bd6358b67,1752,3286
Gamma,32a78d2e-5bb7-11ed-871b-085bd6358b67,2699,8687
Gamma,32a78dd2-5bb7-11ed-9197-085bd6358b67,3097,8209
Beta,32a78e6a-5bb7-11ed-a28c-085bd6358b67,7138,3280
Delta,32a78f02-5bb7-11ed-a224-085bd6358b67,7655,9546
Gamma,32a78f9b-5bb7-11ed-a2f8-085bd6358b67,7314,9
Alpha,32a79038-5bb7-11ed-960a-085bd6358b67,4285,8620
Alpha,32a790d5-5bb7-11ed-9055-085bd6358b67,9992,6678
Gamma,32a7917a-5bb7-11ed-9a4a-085bd6358b67,7066,1266
Beta,32a79214-5bb7-11ed-9309-085bd6358b67,5636,2308
Alpha,32a792ae-5bb7-11ed-b758-085bd6358b67,1082,6158
Gamma,32a79344-5bb7-11ed-a880-085bd6358b67,3030,3942
Alpha,32a793da-5bb7-11ed-bb32-085bd6358b67,5614,4165
Delta,32a79474-5bb7-11ed-b114-085bd6358b67,6526,8503
Gamma,32a7950a-5bb7-11ed-841b-085bd6358b67,5606,6514
Alpha,32a795b2-5bb7-11ed-8fee-085bd6358b67,4782,3717
Gamma,32a79651-5bb7-11ed-b647-085bd6358b67,3966,292
Beta,32a796e7-5bb7-11ed-8d2a-085bd6358b67,3111,140
Gamma,32a79783-5bb7-11ed-87bc-085bd6358b67,4347,7700
Gamma,32a79819-5bb7-11ed-8729-085bd6358b67,1352,9596
Delta,32a798be-5bb7-11ed-be01-085bd6358b67,5305,1697
Delta,32a79985-5bb7-11ed-9965-085bd6358b67,6955,6901
Alpha,32a79a2d-5bb7-11ed-a5d6-085bd6358b67,5850,5456
Alpha,32a79ad8-5bb7-11ed-8028-085bd6358b67,7129,8875
Alpha,32a79b92-5bb7-11ed-a4c4-085bd6358b67,9886,7167
Delta,32a79c83-5bb7-11ed-87a8-085bd6358b67,9363,2588
Delta,32a79d25-5bb7-11ed-b968-085bd6358b67,1255,4314
Alpha,32a79dc5-5bb7-11ed-bdf6-085bd6358b67,2294,4375
