Category,ID,X,Y
Alpha,1c81da84-5bf7-11ed-a639-085bd6358b67,4677,2664
Delta,1c81db26-5bf7-11ed-aae1-085bd6358b67,2314,5914
Delta,1c81dbc0-5bf7-11ed-a616-085bd6358b67,3145,5732
Alpha,1c81dc5c-5bf7-11ed-8bae-085bd6358b67,9690,3189
Beta,1c81dcf6-5bf7-11ed-9b4f-085bd6358b67,1572,5054
Delta,1c81dd94-5bf7-11ed-b8cd-085bd6358b67,8559,6938
Beta,1c81de35-5bf7-11ed-9ca5-085bd6358b67,4356,9789
Alpha,1c81dee3-5bf7-11ed-9751-085bd6358b67,126,3433
Delta,1c81df82-5bf7-11ed-9b20-085bd6358b67,6256,3272
Delta,1c81e020-5bf7-11ed-847d-085bd6358b67,1458,905
Gamma,1c81e0be-5bf7-11ed-9645-085bd6358b67,5901,7485
Beta,1c81e156-5bf7-11ed-9b25-085bd6358b67,4628,7646
Gamma,1c81e1f2-5bf7-11ed-ac7c-085bd6358b67,8298,8182
Gamma,1c81e289-5bf7-11ed-a07b-085bd6358b67,6628,7235
Gamma,1c81e324-5bf7-11ed-a8ed-085bd6358b67,5717,4539
Delta,1c81e3bd-5bf7-11ed-9ee2-085bd6358b67,7815,9620
Alpha,1c81e457-5bf7-11ed-9eb6-085bd6358b67,8844,6013
Delta,1c81e4f3-5bf7-11ed-b345-085bd6358b67,2760,9878
Delta,1c81e590-5bf7-11ed-bf82-085bd6358b67,9244,1072
Gamma,1c81e62e-5bf7-11ed-a61d-085bd6358b67,267,9695
Gamma,1c81e6cf-5bf7-11ed-94f8-085bd6358b67,1210,6496
Gamma,1c81e76b-5bf7-11ed-a70f-085bd6358b67,4625,9924
Beta,1c81e805-5bf7-11ed-8bed-085bd6358b67,2761,5041
Alpha,1c81e89d-5bf7-11ed-861b-085bd6358b67,3602,9339
Alpha,1c81e93b-5bf7-11ed-afac-085bd6358b67,6908,3141
Delta,1c81e9d7-5bf7-11ed-a473-085bd6358b67,9722,262
Beta,1c81ea79-5bf7-11ed-991e-085bd6358b67,5559,9408
Gamma,1c81eb14-5bf7-11ed-8c35-085bd6358b67,780,9474
Alpha,1c81ebbb-5bf7-11ed-8335-085bd6358b67,9259,5995
Delta,1c81ec54-5bf7-11ed-b705-085bd6358b67,5317,9849
Beta,1c81ecef-5bf7-11ed-a8da-085bd6358b67,2584,1923
Gamma,1c81ed90-5bf7-11ed-a6c9-085bd6358b67,2691,510
Gamma,1c81ee2e-5bf7-11ed-ae44-085bd6358b67,1445,6511
Gamma,1c81eecb-5bf7-11ed-9c1c-085bd6358b67,977,2384
Delta,1c81ef67-5bf7-11ed-bb22-085bd6358b67,7713,9991
Delta,1c81f003-5bf7-11ed-9ce7-085bd6358b67,9898,2868
Delta,1c81f09e-5bf7-11ed-96a4-085bd6358b67,5625,9154
Delta,1c81f13e-5bf7-11ed-a0d1-085bd6358b67,6360,3184
Delta,1c81f1d7-5bf7-11ed-8635-085bd6358b67,2499,677
Beta,1c81f271-5bf7-11ed-bba9-085bd6358b67,3115,9339
Gamma,1c81f30e-5bf7-11ed-9b70-085bd6358b67,9160,6162
Alpha,1c81f3ac-5bf7-11ed-bd74-085bd6358b67,9918,849
Gamma,1c81f445-5bf7-11ed-8a97-085bd6358b67,3658,811
Beta,1c81f4e2-5bf7-11ed-a51e-085bd6358b67,1632,9249
Beta,1c81f57c-5bf7-11ed-9711-085bd6358b67,4958,700
Delta,1c81f619-5bf7-11ed-9954-085bd6358b67,1273,5658
Beta,1c81f6b5-5bf7-11ed-b09c-085bd6358b67,8055,2667
Delta,1c81f755-5bf7-11ed-8ac6-085bd6358b67,7671,5378
Alpha,1c81f837-5bf7-11ed-b83c-085bd6358b67,2836,2886
Delta,1c81f9ca-5bf7-11ed-a535-085bd6358b67,2508,8410
Delta,1c81fb53-5bf7-11ed-a912-085bd6358b67,1544,6497
Alpha,1c81fcd8-5bf7-11ed-bd6c-085bd6358b67,3851,1750
Gamma,1c81fe56-5bf7-11ed-9b0c-085bd6358b67,4750,8742
Alpha,1c81ffd9-5bf7-11ed-a992-085bd6358b67,5662,8549
Delta,1c820161-5bf7-11ed-a7a9-085bd6358b67,9958,4006
Gamma,1c8202dc-5bf7-11ed-a214-085bd6358b67,200,2589
Delta,1c820484-5bf7-11ed-bdaf-085bd6358b67,3750,1587
Delta,1c820608-5bf7-11ed-a0a8-085bd6358b67,1633,9452
Delta,1c82078b-5bf7-11ed-b9fa-085bd6358b67,9548,3569
Gamma,1c820904-5bf7-11ed-9263-085bd6358b67,1142,3088
Alpha,1c820a85-5bf7-11ed-a7d5-085bd6358b67,1226,6556
Alpha,1c820c08-5bf7-11ed-b3eb-085bd6358b67,283,7054
Beta,1c820dbc-5bf7-11ed-95a9-085bd6358b67,776,5872
Delta,1c820f46-5bf7-11ed-94c3-085bd6358b67,2803,308
Beta,1c8210cb-5bf7-11ed-8d28-085bd6358b67,4738,3302
Beta,1c82124d-5bf7-11ed-8fcd-085bd6358b67,6329,8929
Delta,1c8213cd-5bf7-11ed-a569-085bd6358b67,9029,509
Alpha,1c821551-5bf7-11ed-8805-085bd6358b67,2018,453
Alpha,1c8216cd-5bf7-11ed-b5ab-085bd6358b67,2914,2042
Delta,1c821855-5bf7-11ed-ac5c-085bd6358b67,1104,239
Delta,1c8219d3-5bf7-11ed-aa5f-085bd6358b67,2995,6909
Alpha,1c821b78-5bf7-11ed-b9b3-085bd6358b67,9038,2777
Delta,1c821cf5-5bf7-11ed-8360-085bd6358b67,9472,7521
Gamma,1c821e73-5bf7-11ed-9d23-085bd6358b67,3043,565
Delta,1c821fed-5bf7-11ed-9986-085bd6358b67,8008,5973
Alpha,1c822173-5bf7-11ed-aa9f-085bd6358b67,2278,4346
Beta,1c8222ec-5bf7-11ed-9034-085bd6358b67,1493,7548
Beta,1c822467-5bf7-11ed-80d9-085bd6358b67,4555,1287
Gamma,1c8225e5-5bf7-11ed-ba37-085bd6358b67,2306,1712
Alpha,1c822767-5bf7-11ed-a25f-085bd6358b67,4714,5482
Alpha,1c8228eb-5bf7-11ed-b3d3-085bd6358b67,9433,4254
Delta,1c822a65-5bf7-11ed-a8a7-085bd6358b67,8351,2391
Alpha,1c822bef-5bf7-11ed-ada2-085bd6358b67,927,9974
Beta,1c822d71-5bf7-11ed-83dc-085bd6358b67,8774,239
Beta,1c822ef2-5bf7-11ed-8db0-085bd6358b67,5010,6863
Alpha,1c823074-5bf7-11ed-89a8-085bd6358b67,6129,8457
Alpha,1c8231f2-5bf7-11ed-aad6-085bd6358b67,7828,4907
Delta,1c823370-5bf7-11ed-9db4-085bd6358b67,2876,2305
Delta,1c8234f6-5bf7-11ed-81c7-085bd6358b67,9982,2523
Beta,1c823670-5bf7-11ed-9ce4-085bd6358b67,5549,8301
Delta,1c8237ff-5bf7-11ed-aad1-085bd6358b67,2535,706
Delta,1c823976-5bf7-11ed-9f58-085bd6358b67,2727,7694
Gamma,1c823af3-5bf7-11ed-acec-085bd6358b67,3468,8104
Gamma,1c823c8f-5bf7-11ed-a145-085bd6358b67,9220,9116
Beta,1c823e1b-5bf7-11ed-984b-085bd6358b67,5186,5199
Alpha,1c823fa5-5bf7-11ed-8850-085bd6358b67,7498,873
Gamma,1c82411e-5bf7-11ed-ab1e-085bd6358b67,8648,8550
Delta,1c82429a-5bf7-11ed-8319-085bd6358b67,9992,1332
Alpha,1c82441e-5bf7-11ed-ba79-085bd6358b67,2090,544
Alpha,1c82459d-5bf7-11ed-bf73-085bd6358b67,5998,7131
Delta,1c82471a-5bf7-11ed-8e2c-085bd6358b67,9275,1484
Alpha,1c8248a9-5bf7-11ed-8696-085bd6358b67,6001,7471
Gamma,1c824a2b-5bf7-11ed-9b60-085bd6358b67,2910,2074
Delta,1c824ba9-5bf7-11ed-b0e0-085bd6358b67,8902,8853
Beta,1c824d28-5bf7-11ed-8c52-085bd6358b67,2559,6261
Delta,1c824ed6-5bf7-11ed-8df6-085bd6358b67,6322,3124
Alpha,1c825073-5bf7-11ed-bf30-085bd6358b67,8768,2538
Beta,1c8251f3-5bf7-11ed-b6a4-085bd6358b67,1170,6488
Alpha,1c82537a-5bf7-11ed-9d2a-085bd6358b67,3428,192
Beta,1c8254ff-5bf7-11ed-9d10-085bd6358b67,2798,6012
Beta,1c82567f-5bf7-11ed-9898-085bd6358b67,4061,5471
Gamma,1c8257fd-5bf7-11ed-9324-085bd6358b67,2538,975
Delta,1c82597a-5bf7-11ed-9f03-085bd6358b67,5825,5598
Gamma,1c825af1-5bf7-11ed-8050-085bd6358b67,4807,8216
Alpha,1c825c6f-5bf7-11ed-b971-085bd6358b67,6660,4649
Beta,1c825dfa-5bf7-11ed-9d64-085bd6358b67,1892,6849
Alpha,1c825f81-5bf7-11ed-9b7e-085bd6358b67,1977,7571
Alpha,1c8260ff-5bf7-11ed-8a57-085bd6358b67,6205,8704
Alpha,1c826285-5bf7-11ed-8520-085bd6358b67,8523,9023
Delta,1c82640b-5bf7-11ed-90a2-085bd6358b67,1392,6905
Alpha,1c82665f-5bf7-11ed-bc70-085bd6358b67,6667,7811
Beta,1c8267ef-5bf7-11ed-b42c-085bd6358b67,6452,379
Delta,1c82696e-5bf7-11ed-9c68-085bd6358b67,9308,8079
Delta,1c826af4-5bf7-11ed-ac85-085bd6358b67,4894,9206
Beta,1c826c6d-5bf7-11ed-aa0a-085bd6358b67,7385,2729
Delta,1c826e11-5bf7-11ed-8e83-085bd6358b67,8184,9379
Delta,1c826f8d-5bf7-11ed-9def-085bd6358b67,4946,9030
Delta,1c827110-5bf7-11ed-ba2b-085bd6358b67,9798,380
Gamma,1c82728e-5bf7-11ed-a00c-085bd6358b67,7601,4971
Beta,1c827414-5bf7-11ed-8bc2-085bd6358b67,3654,6123
Beta,1c82758c-5bf7-11ed-a69a-085bd6358b67,8700,444
Alpha,1c82770c-5bf7-11ed-a2a9-085bd6358b67,956,2694
Gamma,1c827894-5bf7-11ed-9ae2-085bd6358b67,2697,3206
Beta,1c827a17-5bf7-11ed-81d1-085bd6358b67,7650,5147
Beta,1c827b93-5bf7-11ed-82bf-085bd6358b67,583,283
Delta,1c827d13-5bf7-11ed-8910-085bd6358b67,7439,5767
Delta,1c827e96-5bf7-11ed-816a-085bd6358b67,5839,4241
Beta,1c828019-5bf7-11ed-811a-085bd6358b67,4191,686
Beta,1c828193-5bf7-11ed-8904-085bd6358b67,1873,8441
Delta,1c82831c-5bf7-11ed-adab-085bd6358b67,4857,5743
Delta,1c8284a7-5bf7-11ed-947e-085bd6358b67,5388,9787
Gamma,1c828630-5bf7-11ed-b47b-085bd6358b67,7036,924
Delta,1c8287ac-5bf7-11ed-86df-085bd6358b67,5893,7961
Delta,1c828930-5bf7-11ed-ae7f-085bd6358b67,7716,5850
Beta,1c828aab-5bf7-11ed-8478-085bd6358b67,9517,3129
Gamma,1c828c27-5bf7-11ed-a325-085bd6358b67,4727,3262
Delta,1c828da6-5bf7-11ed-8052-085bd6358b67,691,2807
Delta,1c828f3c-5bf7-11ed-8a55-085bd6358b67,5904,6450
Delta,1c829144-5bf7-11ed-87af-085bd6358b67,4064,3319
Alpha,1c8292ca-5bf7-11ed-b9d4-085bd6358b67,8051,877
Gamma,1c829459-5bf7-11ed-a32f-085bd6358b67,8003,1359
Alpha,1c8295dc-5bf7-11ed-be91-085bd6358b67,4013,2858
Delta,1c829778-5bf7-11ed-8adc-085bd6358b67,6631,9174
Delta,1c8298fb-5bf7-11ed-8c35-085bd6358b67,3757,7125
Beta,1c829a85-5bf7-11ed-9a7b-085bd6358b67,3789,5906
Beta,1c829c30-5bf7-11ed-9ecc-085bd6358b67,3250,9351
Alpha,1c829dd9-5bf7-11ed-aa11-085bd6358b67,8567,3053
Alpha,1c829f7b-5bf7-11ed-8c1c-085bd6358b67,6447,8859
Beta,1c82a102-5bf7-11ed-8031-085bd6358b67,9310,5367
Delta,1c82a2a0-5bf7-11ed-942c-085bd6358b67,9541,2874
Delta,1c82a432-5bf7-11ed-b334-085bd6358b67,3975,6151
Delta,1c82a5b2-5bf7-11ed-9994-085bd6358b67,8322,1750
Alpha,1c82a72e-5bf7-11ed-9afe-085bd6358b67,4040,966
Alpha,1c82a8b4-5bf7-11ed-86fa-085bd6358b67,4429,4060
Gamma,1c82aa36-5bf7-11ed-91c3-085bd6358b67,4691,8765
Beta,1c82abbd-5bf7-11ed-9790-085bd6358b67,5745,9286
Beta,1c82ad41-5bf7-11ed-a8d8-085bd6358b67,1171,229
Delta,1c82aece-5bf7-11ed-b045-085bd6358b67,1939,6608
Alpha,1c82b055-5bf7-11ed-bd4a-085bd6358b67,2678,9773
Delta,1c82b1d8-5bf7-11ed-88b5-085bd6358b67,3967,7792
Alpha,1c82b355-5bf7-11ed-9d88-085bd6358b67,2813,1281
Gamma,1c82b4d3-5bf7-11ed-95ed-085bd6358b67,2528,936
Alpha,1c82b662-5bf7-11ed-9c45-085bd6358b67,878,547
Delta,1c82b7f4-5bf7-11ed-9c01-085bd6358b67,9007,8771
Gamma,1c82b97a-5bf7-11ed-93df-085bd6358b67,4785,9702
Delta,1c82bb01-5bf7-11ed-88ab-085bd6358b67,5451,5845
Gamma,1c82bc83-5bf7-11ed-8477-085bd6358b67,4796,5707
Alpha,1c82be11-5bf7-11ed-acfd-085bd6358b67,4141,6170
Delta,1c82bf9c-5bf7-11ed-940d-085bd6358b67,7010,6634
Gamma,1c82c119-5bf7-11ed-8aaa-085bd6358b67,1901,2463
Beta,1c82c294-5bf7-11ed-bb76-085bd6358b67,59,7275
Gamma,1c82c41a-5bf7-11ed-b095-085bd6358b67,7047,4378
Gamma,1c82c5a3-5bf7-11ed-8a31-085bd6358b67,3091,2108
Alpha,1c82c72b-5bf7-11ed-8333-085bd6358b67,9578,2769
Beta,1c82c8ad-5bf7-11ed-a436-085bd6358b67,990,9418
Gamma,1c82ca32-5bf7-11ed-92e5-085bd6358b67,7554,5979
Gamma,1c82cbb5-5bf7-11ed-93b3-085bd6358b67,1180,3263
Gamma,1c82cd39-5bf7-11ed-a9c3-085bd6358b67,1147,1164
Beta,1c82cef8-5bf7-11ed-af52-085bd6358b67,7253,8869
Beta,1c82d07e-5bf7-11ed-ab8f-085bd6358b67,9404,4372
Gamma,1c82d220-5bf7-11ed-a380-085bd6358b67,813,8228
Gamma,1c82d3a8-5bf7-11ed-9b89-085bd6358b67,7657,9829
Alpha,1c82d529-5bf7-11ed-ac95-085bd6358b67,6125,5480
Delta,1c82d6a5-5bf7-11ed-9e9c-085bd6358b67,4622,8792
Alpha,1c82d826-5bf7-11ed-9f34-085bd6358b67,6115,4125
Delta,1c82d9a5-5bf7-11ed-b919-085bd6358b67,2990,3748
Delta,1c82db39-5bf7-11ed-98cc-085bd6358b67,5263,4487
Gamma,1c82dcba-5bf7-11ed-86c2-085bd6358b67,1855,1490
Gamma,1c82de38-5bf7-11ed-86d5-085bd6358b67,7147,3843
Beta,1c82dfb7-5bf7-11ed-8b5d-085bd6358b67,71,8229
Gamma,1c82e148-5bf7-11ed-a368-085bd6358b67,2654,5613
Beta,1c82e2c7-5bf7-11ed-a4b9-085bd6358b67,9698,2002
Gamma,1c82e456-5bf7-11ed-8aa0-085bd6358b67,156,5594
Delta,1c82e5d1-5bf7-11ed-ba0d-085bd6358b67,3081,7335
Delta,1c82e74c-5bf7-11ed-8383-085bd6358b67,9281,2200
Gamma,1c82e8cf-5bf7-11ed-8118-085bd6358b67,8336,2917
Alpha,1c82ea52-5bf7-11ed-bb13-085bd6358b67,2467,8154
Gamma,1c82ebd6-5bf7-11ed-a802-085bd6358b67,9456,4923
Delta,1c82ed62-5bf7-11ed-830d-085bd6358b67,2736,2340
Alpha,1c82eee0-5bf7-11ed-9809-085bd6358b67,7859,7093
Delta,1c82f063-5bf7-11ed-be94-085bd6358b67,9958,9316
Alpha,1c82f1e4-5bf7-11ed-a87b-085bd6358b67,499,9554
Gamma,1c82f374-5bf7-11ed-8a8a-085bd6358b67,6646,3144
Delta,1c82f4f9-5bf7-11ed-a5dd-085bd6358b67,6236,3889
Beta,1c82f67d-5bf7-11ed-95d6-085bd6358b67,5892,9411
Alpha,1c82f7fd-5bf7-11ed-b661-085bd6358b67,9350,132
Beta,1c82f988-5bf7-11ed-b33a-085bd6358b67,214,2159
Gamma,1c82fb03-5bf7-11ed-8d16-085bd6358b67,3998,1235
Delta,1c82fc83-5bf7-11ed-9f50-085bd6358b67,979,7420
Alpha,1c82fe26-5bf7-11ed-97a8-085bd6358b67,3493,2899
Beta,1c82ffab-5bf7-11ed-a77c-085bd6358b67,5707,474
Beta,1c8301e2-5bf7-11ed-92ee-085bd6358b67,8493,9905
Delta,1c83039f-5bf7-11ed-bdd3-085bd6358b67,6291,1462
Beta,1c830529-5bf7-11ed-b404-085bd6358b67,7737,1269
Beta,1c8306a5-5bf7-11ed-9355-085bd6358b67,8122,7786
Alpha,1c83082e-5bf7-11ed-92b6-085bd6358b67,7809,4819
Gamma,1c8309b1-5bf7-11ed-82ff-085bd6358b67,1102,1280
Delta,1c830b2e-5bf7-11ed-9692-085bd6358b67,631,1822
Beta,1c830cab-5bf7-11ed-bcc9-085bd6358b67,2103,721
Beta,1c830e42-5bf7-11ed-b2d8-085bd6358b67,6867,820
Gamma,1c830fc6-5bf7-11ed-84e4-085bd6358b67,751,6783
Gamma,1c831152-5bf7-11ed-b663-085bd6358b67,5460,8433
Gamma,1c8312ce-5bf7-11ed-a6f4-085bd6358b67,6332,4161
Delta,1c831485-5bf7-11ed-bada-085bd6358b67,255,9112
Alpha,1c831601-5bf7-11ed-a2ac-085bd6358b67,7631,3721
Alpha,1c831780-5bf7-11ed-a398-085bd6358b67,6166,8858
Gamma,1c831903-5bf7-11ed-acd5-085bd6358b67,4393,8946
Alpha,1c831a88-5bf7-11ed-8240-085bd6358b67,5362,9556
Delta,1c831c0b-5bf7-11ed-b871-085bd6358b67,5088,5274
Beta,1c831daa-5bf7-11ed-8ae3-085bd6358b67,5646,8108
Gamma,1c831f2d-5bf7-11ed-8602-085bd6358b67,3629,5178
Gamma,1c8320ae-5bf7-11ed-835b-085bd6358b67,118,8436
Alpha,1c832240-5bf7-11ed-923b-085bd6358b67,5940,871
Alpha,1c8323c9-5bf7-11ed-887b-085bd6358b67,4470,3725
Alpha,1c832552-5bf7-11ed-96a4-085bd6358b67,9961,4897
Delta,1c8326d6-5bf7-11ed-a2d9-085bd6358b67,8925,6404
Delta,1c832871-5bf7-11ed-a7fc-085bd6358b67,5203,127
Beta,1c8329fb-5bf7-11ed-ba9d-085bd6358b67,4813,3123
Gamma,1c832b85-5bf7-11ed-9684-085bd6358b67,8198,4653
Alpha,1c832d16-5bf7-11ed-9a85-085bd6358b67,7383,2340
Delta,1c832e99-5bf7-11ed-8e6c-085bd6358b67,8775,5407
Gamma,1c83303f-5bf7-11ed-ab19-085bd6358b67,4061,9616
Delta,1c8331c1-5bf7-11ed-abd3-085bd6358b67,349,1063
Delta,1c833347-5bf7-11ed-8ebe-085bd6358b67,3444,2593
Alpha,1c8334cb-5bf7-11ed-832d-085bd6358b67,5947,6102
Beta,1c83364d-5bf7-11ed-86e6-085bd6358b67,9821,960
Alpha,1c8337e4-5bf7-11ed-bd2b-085bd6358b67,376,6763
Alpha,1c833967-5bf7-11ed-8f07-085bd6358b67,9151,7112
Delta,1c833aed-5bf7-11ed-b46d-085bd6358b67,4281,1838
Alpha,1c833c6a-5bf7-11ed-bfbe-085bd6358b67,8885,1671
Beta,1c833de7-5bf7-11ed-b65e-085bd6358b67,9334,1278
Delta,1c833f73-5bf7-11ed-b570-085bd6358b67,4351,1228
Alpha,1c834105-5bf7-11ed-94de-085bd6358b67,4900,3828
Delta,1c83428f-5bf7-11ed-8f67-085bd6358b67,2105,7904
Gamma,1c834411-5bf7-11ed-aa38-085bd6358b67,4814,3296
Alpha,1c834596-5bf7-11ed-9bb0-085bd6358b67,7116,2074
Gamma,1c834716-5bf7-11ed-9bd6-085bd6358b67,2331,5973
Beta,1c83489b-5bf7-11ed-b953-085bd6358b67,9263,4683
Delta,1c834a27-5bf7-11ed-aa85-085bd6358b67,3348,8060
Alpha,1c834bbd-5bf7-11ed-99d6-085bd6358b67,4248,815
Delta,1c834d3d-5bf7-11ed-8a3b-085bd6358b67,8834,1628
Beta,1c834ec2-5bf7-11ed-893d-085bd6358b67,4487,3637
Alpha,1c83527f-5bf7-11ed-8722-085bd6358b67,950,6875
Alpha,1c835413-5bf7-11ed-9984-085bd6358b67,1629,2146
Gamma,1c8355a6-5bf7-11ed-9b24-085bd6358b67,802,3638
Delta,1c83572a-5bf7-11ed-b94f-085bd6358b67,5139,4617
Delta,1c8358ca-5bf7-11ed-9c06-085bd6358b67,324,9963
Beta,1c835a56-5bf7-11ed-8de7-085bd6358b67,3393,1167
Beta,1c835be4-5bf7-11ed-8217-085bd6358b67,9969,4452
Gamma,1c835d6c-5bf7-11ed-b02e-085bd6358b67,4099,8576
Gamma,1c835eee-5bf7-11ed-a645-085bd6358b67,813,8929
Beta,1c83607f-5bf7-11ed-88ea-085bd6358b67,6464,4107
Delta,1c836220-5bf7-11ed-9f1b-085bd6358b67,9357,6453
Delta,1c83639f-5bf7-11ed-ab35-085bd6358b67,5858,6795
Beta,1c836521-5bf7-11ed-94bc-085bd6358b67,5193,8805
Alpha,1c8366ab-5bf7-11ed-9926-085bd6358b67,370,7942
Beta,1c836835-5bf7-11ed-9dbc-085bd6358b67,609,7350
Beta,1c8369ba-5bf7-11ed-b048-085bd6358b67,555,7792
Beta,1c836b38-5bf7-11ed-a5e9-085bd6358b67,1250,3943
Alpha,1c836cb3-5bf7-11ed-ace5-085bd6358b67,8881,2606
Beta,1c836e4b-5bf7-11ed-a266-085bd6358b67,9975,6085
Beta,1c836fc8-5bf7-11ed-a712-085bd6358b67,790,8463
Delta,1c837156-5bf7-11ed-bed3-085bd6358b67,3964,2312
Delta,1c8372d5-5bf7-11ed-ad4f-085bd6358b67,1177,3999
Alpha,1c837463-5bf7-11ed-9fb5-085bd6358b67,947,2832
Beta,1c8375e2-5bf7-11ed-a991-085bd6358b67,2200,3859
Delta,1c837783-5bf7-11ed-84f4-085bd6358b67,654,1919
Alpha,1c837900-5bf7-11ed-b372-085bd6358b67,1205,994
Delta,1c837a8e-5bf7-11ed-8675-085bd6358b67,7229,1268
Beta,1c837c0b-5bf7-11ed-be85-085bd6358b67,1752,3286
Gamma,1c837d9f-5bf7-11ed-871b-085bd6358b67,2699,8687
Gamma,1c837f31-5bf7-11ed-9197-085bd6358b67,3097,8209
Beta,1c8380aa-5bf7-11ed-a28c-085bd6358b67,7138,3280
Delta,1c838226-5bf7-11ed-a224-085bd6358b67,7655,9546
Gamma,1c8383a2-5bf7-11ed-a2f8-085bd6358b67,7314,9
Alpha,1c838522-5bf7-11ed-960a-085bd6358b67,4285,8620
Alpha,1c83869b-5bf7-11ed-9055-085bd6358b67,9992,6678
Gamma,1c83881d-5bf7-11ed-9a4a-085bd6358b67,7066,1266
Beta,1c838997-5bf7-11ed-9309-085bd6358b67,5636,2308
Alpha,1c838b19-5bf7-11ed-b758-085bd6358b67,1082,6158
Gamma,1c838c93-5bf7-11ed-a880-085bd6358b67,3030,3942
Alpha,1c838e0b-5bf7-11ed-bb32-085bd6358b67,5614,4165
Delta,1c838f8d-5bf7-11ed-b114-085bd6358b67,6526,8503
Gamma,1c839104-5bf7-11ed-841b-085bd6358b67,5606,6514
Alpha,1c8392ba-5bf7-11ed-8fee-085bd6358b67,4782,3717
Gamma,1c839445-5bf7-11ed-b647-085bd6358b67,3966,292
Beta,1c8395bd-5bf7-11ed-8d2a-085bd6358b67,3111,140
Gamma,1c83973d-5bf7-11ed-87bc-085bd6358b67,4347,7700
Gamma,1c8398d3-5bf7-11ed-8729-085bd6358b67,1352,9596
Delta,1c839a75-5bf7-11ed-be01-085bd6358b67,5305,1697
Delta,1c839c03-5bf7-11ed-9965-085bd6358b67,6955,6901
Alpha,1c83a00d-5bf7-11ed-a5d6-085bd6358b67,5850,5456
Alpha,1c83a25d-5bf7-11ed-8028-085bd6358b67,7129,8875
Alpha,1c83a43f-5bf7-11ed-a4c4-085bd6358b67,9886,7167
Delta,1c83a5c1-5bf7-11ed-87a8-085bd6358b67,9363,2588
